tick,victim_id,victim_age,victim_immunity,was_tested_positive
2801,2130,49,0.03840342969884292,true
3801,4995,38,0.016496382754561667,true
3801,5700,63,-0.10266896361546635,true
4301,6619,5,-0.1469091678205569,false
4501,6078,3,0.005857408394378705,true
4501,3408,51,0.016414599452576062,true
4501,4571,9,-0.17405178140064242,true
4601,2385,42,0.02529613370688799,true
4601,5723,11,0.01620767958715169,true
4701,2278,64,-0.15916123632662166,true
5301,1083,14,0.029130873978529814,true
5501,5048,23,0.01635178194954301,false
5501,4673,34,0.009166005006946198,true
5501,2200,40,0.03319904078082614,false
5601,720,7,-0.06503412382318324,true
5601,5582,8,-0.05112297495812218,true
5701,3038,43,0.0358556035608012,true
5701,4580,47,0.03546247297025773,true
5801,6753,30,0.00692444649226398,true
5801,3913,38,0.03833739964104255,true
5801,6130,36,0.02211093248640661,true
5901,6554,50,0.0022335151556440724,false
5901,4361,45,0.03541414432320822,true
6001,1917,32,0.016012408142318968,true
6101,1166,81,-0.12338557751249762,true
6101,5144,47,0.04303088253149823,true
6201,1067,42,0.0028691661636633947,true
6301,1488,19,0.0488711443442057,true
6301,2298,70,-0.08952194744799108,true
6401,1420,38,0.021802441406055695,true
6401,6259,10,-0.050117760910218745,true
6401,3184,61,-0.0345631200200493,true
6501,4706,32,0.022144561782647454,true
6601,1746,12,-0.016176810198349767,true
6601,4073,6,-0.047481946376216666,false
6701,6404,8,0.031751350485721364,true
6801,3315,39,0.04723860509665756,true
7201,4210,32,0.016105731951283064,true
7301,5498,63,0.01945479252822141,true
7301,4225,19,0.02933237863603877,true
7301,810,14,-0.10358521935053083,true
7501,1662,42,0.03260082136091136,false
7701,611,5,-0.1330420267193197,false
7701,4498,10,-0.09097478458138947,true
8001,3473,16,0.01546670922050164,true
8101,6450,42,0.03533356032446333,false
8201,6771,22,0.007777742623019002,false
8301,5547,45,0.048224971875630906,false
8301,4029,32,0.019790218296863116,true
8301,5851,24,0.0032217021869239693,false
8401,1486,53,0.0298579041511583,true
8401,3760,17,0.04410152709660908,true
8501,5364,65,0.04067242829370871,true
8501,6739,50,0.036323319490767836,true
8501,4592,17,0.003837916267956931,true
8501,3209,29,0.018729481783318236,false
8501,3568,31,0.020414932364285487,true
8601,6425,34,0.03769101400578978,true
8701,6100,61,0.022599299763278402,false
8701,1495,62,-0.04807394822218575,true
8801,4942,24,0.028195221167800044,false
8801,3045,7,-0.10319878805161603,true
8901,5040,33,0.04190248789091622,true
9001,1006,9,-0.02182507719079524,false
9001,2144,17,0.026350356286269916,true
9001,1136,19,0.02436005698021504,false
9001,4665,64,-0.08745775211718138,true
9101,3911,32,0.04251327916388037,true
9101,289,32,0.015602846067486187,true
9201,6628,24,0.006190455249392546,false
9401,4311,14,0.03966200123190161,true
9501,400,25,0.021791192063290166,true
9501,125,12,-0.015449628879736055,false
9501,284,30,0.0234232327414986,false
9501,3819,38,0.005072139523951691,true
9701,2925,21,0.044059459532664214,true
9701,654,3,0.04330797337539399,true
9801,1079,63,-0.17450152488361176,false
9801,2775,40,0.0050245769877560464,true
9901,2979,30,0.03744756419917017,true
9901,3117,11,0.001762131113053178,true
9901,4577,62,-0.15320402033987185,false
10201,4998,6,-0.13127622430787927,true
10201,2073,21,0.046231740357257856,false
10401,6405,5,-0.09926022787513739,true
10401,859,35,0.04210762170382365,true
10401,499,11,-0.09979756802313594,true
10501,6186,13,-0.1961143094670083,true
10501,2876,42,0.0065113630336028905,true
10501,2194,24,0.03924966524100837,false
10501,455,28,0.04355027790269017,true
10601,5497,37,0.04515481770581098,true
10701,6022,78,-0.18869367480395022,false
10701,553,51,0.008338243752801788,true
10801,6837,47,0.011736757222231775,true
10801,1490,17,0.0027050961918474448,false
10901,6545,47,0.013354705987169702,true
10901,3971,43,0.025728277020613977,true
10901,3347,63,-0.1923756460569987,true
10901,3032,62,-0.05299819265185851,true
10901,1513,28,0.02389344670902649,true
11001,6397,28,0.008301129190017353,true
11001,3480,11,-0.044039626877188376,true
11001,2306,47,0.03498775583435665,true
11001,4736,62,0.011454406255966554,false
11101,5822,9,-0.08628534114950065,true
11101,4786,61,-0.051276798359280396,true
11101,1446,37,0.03597823891313767,true
11201,1237,6,-0.011169387458599911,true
11201,4911,75,0.019254388992255234,true
11201,1681,24,0.020504217086111498,true
11201,1510,27,0.03706894323414012,true
11201,3970,71,-0.09415291763382355,false
11301,3206,63,-0.09198197388834645,true
11301,774,3,-0.17966941528743124,true
11501,179,33,0.01593150705490387,false
11601,1637,63,-0.06728473267534124,false
11601,1661,34,0.04480384460925968,true
11701,5689,27,0.022314023210429745,true
11801,6645,14,0.015092576209796149,true
11901,3503,21,0.029223178257700266,true
11901,4630,0,-0.08115502916503908,false
11901,2881,7,-0.11814222899736665,true
11901,1968,30,0.01791888326116231,true
12001,111,46,0.016477605256026928,true
12001,3571,2,-0.18183841562563902,true
12101,6203,13,-0.018560635293357886,true
12101,3755,61,-0.0076898939276545675,false
12101,4057,55,0.02356927817089094,true
12301,5675,12,-0.020241398383341658,false
12301,4934,53,0.023178676387144992,false
12401,929,64,-0.16719186517350954,false
12701,3453,51,0.012491398579595692,false
12701,1981,40,0.03529008191183147,true
12801,5550,61,-0.1786769660457717,true
12801,2751,1,-0.1793767419685422,true
12901,3661,56,0.026996222621367805,false
12901,2457,17,0.01770435183761032,true
12901,2445,10,0.01758479078314562,false
12901,886,1,-0.1458325877960835,true
13001,2098,62,0.01006825901728553,false
13001,5183,54,0.02255072987012141,true
13001,8,0,-0.05434478422945549,false
13001,1964,40,0.0020209283368100017,true
13101,1235,14,-0.17651143342671044,false
13201,1853,45,0.014055032634095577,true
13201,4844,13,-0.0981380539528926,true
13301,5085,12,-0.06685050729172953,true
13301,700,39,0.009699739805813734,false
13301,1717,23,0.01575267438753536,true
13301,167,14,-0.09747469478516851,true
13401,159,26,0.04212923456328299,true
13501,403,21,0.04797039590794727,true
13501,6357,13,0.0373511654170427,true
13501,1161,25,0.048743454163797106,true
13601,1604,34,0.02899349487510028,true
13601,6486,61,-0.019651022530340068,true
13701,3013,57,0.04925251590634594,true
13701,899,24,0.00728095650593652,false
13701,235,24,0.0035925649665961013,true
13801,6741,31,0.0029634911990783497,true
14101,5506,28,0.013373363107836433,true
14101,15,40,0.04408199108202848,false
14101,2267,32,0.036786553252074805,true
14201,1587,62,0.024892349102435374,false
14301,1451,31,0.036325437009449235,true
14301,2694,39,0.03553471054935653,true
14301,580,4,-0.15517883329015675,true
14401,4847,4,0.0017209637311979553,true
14401,5453,1,-0.11702488853041565,false
14601,516,34,0.008355281055634212,true
14701,6587,46,0.017435880959249195,true
14901,6139,70,-0.10237698824285862,false
14901,2862,29,0.029418211854635112,true
15101,6208,10,-0.10523299644191192,false
15301,5196,13,0.012760895875031986,true
15301,4662,47,0.0401738954515507,false
15501,6293,19,0.034822120374354726,true
15701,2525,40,0.03313258532945562,false
15801,2317,35,0.0293027401675382,true
15801,4413,48,0.04502345009224573,true
15901,2376,47,0.048508762848132214,true
15901,6379,33,0.04688233376845208,true
16001,2181,20,0.010491246527740583,false
16001,316,19,0.04711297348886956,true
16001,1552,60,0.036404103883422745,true
16101,469,9,-0.03261910040098642,false
16201,5450,34,0.006454514759423269,true
16301,58,68,-0.014288284698097453,true
16901,4072,50,0.02165775348270338,true
17001,5192,23,0.046765128014719104,true
17101,1013,32,0.00230753391030436,true
17101,751,12,-0.04611351893176546,true
17301,520,31,0.038274976645961356,true
17401,2899,5,0.03477593398335449,true
17801,2680,43,0.03017084643682788,true
17901,3622,31,0.03535475035018654,true
17901,4115,22,0.04910457581608041,false
